Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Ituri,Adi Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.403,30.7993,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Ariwara Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.1413,30.7018,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Aru Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.0282,30.6124,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Aungba Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.5476,30.5056,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Bambu Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.8029,30.2446,Combination,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Biringi Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.8059,30.3353,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Boga Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.0299,29.9556,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Bunia Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.5623,30.2515,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Drodro Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.7696,30.5326,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Fataki Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.0029,30.5659,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Jiba Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.8822,30.6975,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Laybo Hôpital Général de Référence,Hôpital Général de Référence,Publique,3.2652,30.5663,Combination,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Logo Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.1838,30.9241,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Lolwa Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.2361,29.4659,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Mahagi Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.3028,30.9911,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Mambasa Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.3651,29.0353,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Rethy Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.0862,30.8826,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Rimba Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.2203,30.6568,Other,Hôpital,Hospital
Democratic Republic of the Congo,Ituri,Rungu Hôpital Général de Référence,Hôpital Général de Référence,Publique,2.953,30.316,Other,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Occidental,Bulape Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.8755,21.6232,Combination,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Occidental,Kamonia Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.8684,20.9429,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Occidental,Luebo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.3371,21.4066,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Occidental,Mikope Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.0493,20.8005,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Occidental,Nyanga Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.9632,20.4184,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Bibanga Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.2584,23.9361,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Bonzola Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.1341,23.5997,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Kabeya Kamuanga Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.9981,23.2604,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Kamiji Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.6479,23.2828,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Katanda Centre Hôpital,Centre Hôpital,Publique,-6.3317,23.9014,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Lukalaba Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.4944,23.6521,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Miabi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.2137,23.3912,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Muya Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.1006,23.6203,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kasai Oriental,Tshilenge Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.2464,23.767,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Akram Centre Hôpital,Centre Hôpital,Publique,-4.3298,15.3422,Google Earth,Centre Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Bolingo Centre Hôpital,Centre Hôpital,Publique,-4.3591,15.2996,Combination,Centre Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Kintambo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.3417,15.2674,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Makala Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.3783,15.3158,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Masuika Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.3506,15.3358,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Mokali Centre Hôpital,Centre Hôpital,Publique,-4.4438,15.2496,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Mweka Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.4208,15.3101,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Saint Joseph Hôpital,Hôpital,Publique,-4.4219,15.3664,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Tshikula Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.4213,15.3899,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Tutante Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.4141,15.3981,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Yangala Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.4106,15.3875,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kinshasa,Yolo Medical Centre Hôpital,Centre Hôpital,Publique,-4.4169,15.4003,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Boko Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.3143,16.7662,Other,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Feshi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.1306,18.1485,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Ganga Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.1978,18.2829,Other,Hôpital,Hospital
